CustomerID,Segment,RFM_Score,R_Score,F_Score,M_Score,DaysSinceLastPurchase,TotalTransactions,TotalSpent,AverageOrderValue,FirstPurchaseDate,LastPurchaseDate,PrimaryCountry
16446,Need Attention,535,5,3,5,0.14097222222222222,2,168472.5,84236.25,2011-05-18T09:52:00Z,2011-12-09T09:27:00Z,United Kingdom
12536,Need Attention,535,5,3,5,7.004861111111111,3,12601.830000000004,4200.6100000000015,2011-10-11T14:52:00Z,2011-12-02T12:43:00Z,France
12798,Need Attention,535,5,3,5,9.873611111111112,3,6977.039999999999,2325.68,2011-06-22T10:11:00Z,2011-11-29T15:52:00Z,Japan
16240,Need Attention,535,5,3,5,7.95,2,3718.800000000001,1859.4000000000003,2011-09-23T13:44:00Z,2011-12-01T14:02:00Z,United Kingdom
15113,Need Attention,535,5,3,5,9.185416666666669,3,3509.4300000000003,1169.8100000000002,2011-10-16T15:27:00Z,2011-11-30T08:23:00Z,United Kingdom
13868,Need Attention,535,5,3,5,6.845833333333333,2,3192.54,1596.27,2011-11-01T12:45:00Z,2011-12-02T16:32:00Z,United Kingdom
14125,Need Attention,535,5,3,5,10.002083333333331,3,2720.6300000000015,906.8766666666672,2011-09-22T15:40:00Z,2011-11-29T12:47:00Z,United Kingdom
12397,Need Attention,325,3,2,5,35.12361111111111,2,2409.9000000000005,1204.9500000000005,2011-07-27T14:21:00Z,2011-11-04T09:52:00Z,Belgium
12876,Need Attention,325,3,2,5,57.016666666666666,2,2218.0200000000004,1109.0100000000002,2011-05-27T13:34:00Z,2011-10-13T12:26:00Z,Belgium
15123,Need Attention,535,5,3,5,6.9847222222222225,2,2199.309999999999,1099.6549999999995,2011-05-17T14:57:00Z,2011-12-02T13:12:00Z,United Kingdom
13224,Need Attention,325,3,2,5,59.90972222222222,2,2155.9499999999994,1077.9749999999997,2011-07-11T14:10:00Z,2011-10-10T15:00:00Z,United Kingdom
12560,Need Attention,535,5,3,5,4.955555555555556,3,2134.01,711.3366666666667,2011-07-19T15:55:00Z,2011-12-04T13:54:00Z,Germany
14001,Need Attention,334,3,3,4,45.09652777777778,3,2043.08,681.0266666666666,2010-12-01T12:58:00Z,2011-10-25T10:31:00Z,United Kingdom
14544,Need Attention,434,4,3,4,23.905555555555555,2,2004.3000000000004,1002.1500000000002,2010-12-13T12:50:00Z,2011-11-15T15:06:00Z,United Kingdom
17082,Need Attention,334,3,3,4,32.89791666666667,2,2003.8500000000008,1001.9250000000004,2011-01-25T14:36:00Z,2011-11-06T15:17:00Z,United Kingdom
17679,Need Attention,334,3,3,4,52.21319444444445,2,1992.1100000000008,996.0550000000004,2011-09-15T10:35:00Z,2011-10-18T07:43:00Z,United Kingdom
15531,Need Attention,534,5,3,4,7.754861111111111,2,1972.3899999999996,986.1949999999998,2011-11-09T17:47:00Z,2011-12-01T18:43:00Z,United Kingdom
14418,Need Attention,534,5,3,4,3.0493055555555557,3,1937.25,645.7500000000001,2011-08-23T17:18:00Z,2011-12-06T11:39:00Z,United Kingdom
15157,Need Attention,534,5,3,4,3.0569444444444445,3,1936.0700000000008,645.3566666666669,2010-12-16T13:44:00Z,2011-12-06T11:28:00Z,United Kingdom
14250,Need Attention,534,5,3,4,6.930555555555555,3,1904.05,634.6833333333334,2011-09-11T13:44:00Z,2011-12-02T14:30:00Z,United Kingdom
12371,Need Attention,324,3,2,4,44.10694444444445,2,1887.9600000000005,943.98,2011-10-11T10:43:00Z,2011-10-26T10:16:00Z,Switzerland
